Participant ID,agreeableness,conscientiousness,extraversion,neuroticism,openness,,,agreeableness,conscientiousness,extraversion,neuroticism,openness,,,,,,
P003,0.55,0.8,0.48,0.33,0.58,,agreeableness,1.00,0.32,0.21,-0.42,0.19,,,3.69,2.30,-4.93,2.11
P004,0,0.16,0.14,0.73,0.15,,conscientiousness,0.33,1.00,0.13,-0.25,0.12,,3.71,,1.40,-2.73,1.31
P007,0.1,0.08,0.52,0.7,0.19,,extraversion,0.21,0.13,1.00,-0.37,0.18,,2.31,1.40,,-4.31,2.01
P009,0.55,0.2,0.48,0.23,0.31,,neuroticism,-0.42,-0.25,-0.37,1.00,-0.15,,-4.97,-2.73,-4.31,,-1.60
P011,0.45,0.08,0.9,0.33,0.27,,openness,0.19,0.12,0.18,-0.15,1.00,,2.05,1.31,2.01,-1.60,
P012,0.8,0.4,0.59,0.23,0.5,,,,,,,,,,,,,
P013,0.5,0,0.59,0.53,0.85,,,,,,,,,,,,,
P015,0.85,0.6,0.69,0.33,0.38,,,,0.001,0.029,0.000,0.044,,,,,,
P016,0.35,0.44,0.45,0.57,0.62,,,0.001,,0.149,0.010,0.168,,,,,,
P017,0.25,0.24,0.48,0.6,0.31,,,0.029,0.149,,0.000,0.054,,,,,,
P019,0.1,0.88,0.24,0.23,0.35,,,0.000,0.010,0.000,,0.111,,,,,,
P021,0.55,0.52,0.48,0.17,0.46,,,0.050,0.168,0.054,0.111,,,,,,,
P022,0.75,0.48,0.59,0.47,0.35,,,,,,,,,,,,,
P024,0.8,0.52,0.66,0.4,0.5,,,,,,,,,,,,,
P025,0.35,0.48,0.55,0.37,0.19,,,,,,,,,,,,,
P026,0.45,0.56,0.59,0.4,0.35,,,,,,,,,,,,,
P027,0.85,0.88,0.24,0.43,0.27,,,,,,,,,,,,,
P028,0,0.16,0.52,0.43,0.19,,,,,,,,,,,,,
P030,0.6,0.64,0.38,0.57,0.77,,,,,,,,,,,,,
P031,0.75,0.68,0.76,0.47,0.15,,,,,,,,,,,,,
P032,0.6,0.96,0.86,0.17,0.69,,,,,,,,,,,,,
P033,0.55,0.4,0.24,0.53,0.69,,,,,,,,,,,,,
P034,0.65,0.76,0.72,0.5,0.62,,,,,,,,,,,,,
P035,0.25,0.36,0.76,0.7,0.35,,,,,,,,,,,,,
P036,0.4,0.6,0.72,0.63,0.73,,,,,,,,,,,,,
P039,0.3,0.72,0.79,0.6,0.27,,,,,,,,,,,,,
P040,0.15,0.64,0.59,0.67,0.15,,,,,,,,,,,,,
P041,0.7,0.92,0.55,0.47,0.58,,,,,,,,,,,,,
P042,0.5,0.52,0.31,0.57,0.31,,,,,,,,,,,,,
P043,0.4,0.48,0.79,0.63,0.15,,,,,,,,,,,,,
P044,0.8,0.64,1,0.17,0.54,,,,,,,,,,,,,
P045,0.4,0.12,0.17,0.6,0.58,,,,,,,,,,,,,
P046,0.55,0.44,0.79,0.53,0.38,,,,,,,,,,,,,
P047,0.85,0.4,0.52,0.5,0.77,,,,,,,,,,,,,
P048,0.5,0.24,0.86,0.53,0.77,,,,,,,,,,,,,
P049,0.6,0.6,0.1,0.8,0.81,,,,,,,,,,,,,
P051,0.7,0.96,0.97,0.2,0.92,,,,,,,,,,,,,
P052,0.85,0.4,0.55,0.77,0.77,,,,,,,,,,,,,
P053,0.8,0.84,0.38,0.33,0.85,,,,,,,,,,,,,
P056,0.75,1,0.34,0.4,0.23,,,,,,,,,,,,,
P057,0.5,0.4,0.38,0.8,0.08,,,,,,,,,,,,,
P058,0.15,0.32,0.62,0.83,0.31,,,,,,,,,,,,,
P061,0.2,0.24,0,0.73,0.58,,,,,,,,,,,,,
P063,,,,,,,,,,,,,,,,,,
P067,0.1,0.56,0.59,0.53,0.46,,,,,,,,,,,,,
P068,1,0.68,0.17,0.7,0,,,,,,,,,,,,,
P071,0.5,0.32,0.41,0.7,0.42,,,,,,,,,,,,,
P073,0.75,0.76,0.66,0.03,0.27,,,,,,,,,,,,,
P074,0.75,0.68,0.76,0.5,0.46,,,,,,,,,,,,,
P075,0.3,0.28,0.86,0.27,0.85,,,,,,,,,,,,,
P076,0.6,0.84,0.97,0.57,0.73,,,,,,,,,,,,,
P077,,,,,,,,,,,,,,,,,,
P082,,,,,,,,,,,,,,,,,,
P084,1,0.76,0.86,0.33,0.73,,,,,,,,,,,,,
P086,0.65,0.72,0.38,0.23,0.27,,,,,,,,,,,,,
P087,0.15,0.6,0.28,0.87,0.15,,,,,,,,,,,,,
P088,0.4,0.64,0.52,0.73,0.65,,,,,,,,,,,,,
P090,0.45,0.6,0.52,0.37,0.65,,,,,,,,,,,,,
P091,1,0.96,0.45,0.67,0.77,,,,,,,,,,,,,
P092,0.55,0.64,0.86,0.43,0.62,,,,,,,,,,,,,
P094,0.7,0,0.24,0.7,0.23,,,,,,,,,,,,,
P096,,,,,,,,,,,,,,,,,,
P099,0.1,1,0.34,0.87,0.15,,,,,,,,,,,,,
P103,0,0.48,0.34,0.6,0.77,,,,,,,,,,,,,
P104,0.8,0.72,0.93,0.47,0.65,,,,,,,,,,,,,
P106,0.6,0.48,0.55,0.47,0.46,,,,,,,,,,,,,
P109,,,,,,,,,,,,,,,,,,
P110,0.6,0.2,0.48,0,0.77,,,,,,,,,,,,,
P112,0.8,0.76,0.38,0.1,0.77,,,,,,,,,,,,,
P114,0.05,0.24,0.66,0.8,0.5,,,,,,,,,,,,,
P115,0.2,0.28,0,0.57,0.62,,,,,,,,,,,,,
P116,0.8,0.48,0.9,0.2,0.42,,,,,,,,,,,,,
P117,0.7,0.4,0.76,0.2,0.19,,,,,,,,,,,,,
P118,0.5,0.4,0.52,0.23,0.46,,,,,,,,,,,,,
P121,0.85,0.68,0.9,0,0.77,,,,,,,,,,,,,
P122,0.65,0.76,0.31,0.5,0.69,,,,,,,,,,,,,
P123,0.6,0.56,0.24,1,0.54,,,,,,,,,,,,,
P124,0.05,0.56,0.9,0.83,0.69,,,,,,,,,,,,,
P126,0.65,0.56,0.31,0.2,0.54,,,,,,,,,,,,,
P127,0.3,0.6,0.48,0.5,0.42,,,,,,,,,,,,,
P128,0.75,0.6,0.69,0.17,0.73,,,,,,,,,,,,,
P129,0.45,0.64,0.62,0.2,0.62,,,,,,,,,,,,,
P131,0.8,0.56,0.38,0.33,0.96,,,,,,,,,,,,,
P135,0.45,0.32,0.52,0.63,0.65,,,,,,,,,,,,,
P138,0.6,0.64,0.83,0.5,0.73,,,,,,,,,,,,,
P139,0.25,0.56,0.34,0.33,0.54,,,,,,,,,,,,,
P140,0.8,0.72,0.83,0.03,0.54,,,,,,,,,,,,,
P141,,,,,,,,,,,,,,,,,,
P142,0.1,0.52,0.62,0.67,0.65,,,,,,,,,,,,,
P144,0.6,0.92,0.86,0.2,0.27,,,,,,,,,,,,,
P146,,,,,,,,,,,,,,,,,,
P147,0.45,0.8,0.86,0,0.5,,,,,,,,,,,,,
P148,0.85,0.08,0.69,0.47,0.19,,,,,,,,,,,,,
P151,0.4,0.76,0.69,0.4,0.77,,,,,,,,,,,,,
P153,0.4,0.32,0.21,0.47,0.73,,,,,,,,,,,,,
P154,0.1,0.28,0.45,0.77,0.85,,,,,,,,,,,,,
P157,,,,,,,,,,,,,,,,,,
P158,0.55,0.12,1,0.27,0.81,,,,,,,,,,,,,
P160,0.3,0.44,0.24,0.73,0.23,,,,,,,,,,,,,
P164,,,,,,,,,,,,,,,,,,
P167,0.65,0.52,0.79,0.13,0.85,,,,,,,,,,,,,
P169,,,,,,,,,,,,,,,,,,
P170,0.7,0.6,0.83,0.33,0.62,,,,,,,,,,,,,
P173,0.55,0.48,0.93,0.47,1,,,,,,,,,,,,,
P174,0.65,0.24,0.59,0.27,0.12,,,,,,,,,,,,,
P175,0.5,0.28,0.62,0.63,0.5,,,,,,,,,,,,,
P179,0.6,0.92,0.83,0.37,0.65,,,,,,,,,,,,,
P181,0.5,0.52,0.76,0.4,0.62,,,,,,,,,,,,,
P186,0.3,0.36,0.59,0.57,0.27,,,,,,,,,,,,,
P188,0.4,0.16,0.69,0.73,0.46,,,,,,,,,,,,,
P190,,,,,,,,,,,,,,,,,,
P191,,,,,,,,,,,,,,,,,,
P207,0.5,0.64,0.28,0.43,0.38,,,,,,,,,,,,,
P208,0.3,0.2,0.76,0.3,0.27,,,,,,,,,,,,,
P210,0.05,0.6,0.62,0.37,0.46,,,,,,,,,,,,,
P220,0.15,0.48,0.48,0.37,0.23,,,,,,,,,,,,,
T001,0.2,0.36,0.45,0.67,0.58,,,,,,,,,,,,,
T002,0.35,0.4,0.52,0.7,0.69,,,,,,,,,,,,,
